Entidad,Sector,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01
Aguascalientes,Minería ,71.58192763,74.53813818,81.75968273,72.96624469,76.0216299,67.74192999,70.57751039,75.16074592,73.24148438,71.10305553,78.24094754,67.38050985,61.90011563
Aguascalientes,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",123.1357656,125.9022324,116.3369192,131.9719765,122.6662082,134.3633385,128.9273237,124.8953999,135.179778,133.3479735,142.4529513,126.6125667,127.8887409
Aguascalientes,Construcción ,122.091917,130.3830905,126.6597238,113.1364731,115.4059137,108.9932673,116.8193661,116.5043429,117.4301857,121.9315592,126.9665489,118.1152456,115.432118
Aguascalientes,Industrias manufactureras ,156.2799363,137.0113757,143.7055213,130.8965695,143.8411261,147.8691623,123.6454524,153.326693,148.9279847,161.1859417,158.3532791,125.1596005,127.8989218
Baja California,Actividades secundarias ,119.0170004,118.7617705,122.2186947,120.9531586,123.8419614,124.8775698,127.4812047,131.4746204,128.1878313,133.6902526,127.974122,121.1011127,128.9531891
Baja California,Minería ,128.9942877,118.9632961,129.9303791,126.3838483,129.3323486,117.0767687,126.1501838,122.6673021,127.7263756,118.3815922,116.5476518,110.3484951,109.075974
Baja California,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",89.58547668,85.12464405,80.88637896,87.49607651,90.31085555,104.1008268,118.0149876,122.6290227,118.6912092,100.7487333,92.06629644,88.86770026,102.5658705
Baja California,Construcción ,120.1653115,117.1975941,111.6718172,108.6364703,110.1287382,106.2969859,117.3082484,106.1833001,114.8004388,113.1248998,107.1873408,106.6972994,115.0826127
Baja California,Industrias manufactureras ,122.7829361,124.6634035,134.0676323,132.5780936,136.2278081,138.0204387,134.375845,146.4307464,136.8093732,149.7652032,144.5962006,133.7388499,140.4675393
Baja California Sur,Actividades secundarias ,215.7847283,173.2419777,178.2594936,200.2938769,218.9554221,230.0343835,199.7540922,200.3665161,208.9249213,196.4633422,252.4675534,255.1828104,211.8428201
Baja California Sur,Minería ,139.2756539,116.3350884,130.0998899,132.6939555,137.7215767,145.6377505,139.6205876,141.1007978,135.9341445,131.1861558,147.8223095,136.8299012,127.6339936
Baja California Sur,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",114.42872,104.2509093,98.32288369,108.5273349,114.7367385,120.844888,135.5548169,138.508403,138.1747557,131.1719507,125.872413,116.520981,111.1982175
Baja California Sur,Construcción ,263.6212781,206.2120867,212.2552075,242.2501445,267.5059379,281.6823984,234.2918582,234.0461974,248.1325851,231.8356938,313.7368726,322.3171327,260.6555638
Baja California Sur,Industrias manufactureras ,97.1237544,97.13950087,98.6989952,102.8325368,107.5809215,104.6153642,104.8302175,107.421979,105.3023333,104.8799121,105.8571954,100.9865971,96.10388631
Campeche,Actividades secundarias ,73.18791595,66.30368523,72.19235193,70.87420308,71.70862635,68.15431089,71.85052275,70.61907519,70.07845859,69.70381518,66.07199826,69.70287112,69.24213141
Campeche,Minería ,75.23193921,67.25114487,73.43696732,71.83375208,73.12093568,69.30801599,72.40627563,71.96743399,71.98978968,71.3342114,67.98228556,71.28044305,70.04399187
Campeche,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",73.41858325,77.08198214,97.28929719,87.45464832,103.7083555,125.4604705,119.4410204,120.2002978,116.8545092,106.7737861,137.3222051,105.9279557,86.13029574
Campeche,Construcción ,49.92936425,54.13041334,56.16907943,57.77848432,53.74283,53.24088351,64.3048822,53.97418787,47.38430191,50.28231938,42.5446864,50.43206192,58.93496341
Campeche,Industrias manufactureras ,82.97195911,92.16263161,102.3574433,108.8981914,100.5434959,83.55579765,77.89462108,81.17109839,77.91663679,78.68603137,79.61810872,87.05371105,88.09243848
Coahuila,Actividades secundarias ,111.0886981,113.7618432,118.742934,114.494557,120.4840139,117.2994554,111.6534653,119.7325115,112.3647128,119.2826383,116.4281515,103.287574,114.8091678
Coahuila,Minería ,89.04023047,89.9450406,95.00378077,95.25527645,96.0525209,89.75908684,88.77650239,86.2843261,85.43790979,88.66055393,86.94937026,84.77649843,88.40965477
Coahuila,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",95.88833017,94.91280617,92.66740719,98.82655223,91.45263699,102.5312376,107.7090456,112.287759,106.0489561,100.5291236,98.94669365,75.213346,72.87500357
Coahuila,Construcción ,123.9437717,147.3717673,154.3946233,157.7297612,160.5288896,136.9472939,138.9693203,121.7665021,129.7523482,142.7358732,131.6467681,137.7863174,154.9001682
Coahuila,Industrias manufactureras ,111.5429382,111.2115105,116.2203453,109.8774428,117.4599358,117.0802021,109.2923057,122.441635,112.0364131,118.8978436,117.209051,100.6335304,112.5794732
Colima,Actividades secundarias ,86.66647968,88.40877609,86.38158422,97.00473865,95.33012393,101.5985037,91.52297907,99.40754411,90.71923052,91.24800754,91.62474887,92.86285075,96.61219547
Colima,Minería ,78.70255316,74.24018172,79.84150312,91.300977,87.47827381,94.82340912,90.39340371,91.74385233,91.00257797,90.20619865,66.64214203,76.36956715,82.81950447
Colima,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",117.7843495,120.9408216,123.3316347,141.8667313,149.3498251,163.1968564,142.9788661,174.4988588,145.7681147,125.7795123,126.5499227,119.1597467,127.2922263
Colima,Construcción ,65.00628949,66.60704169,63.61266028,75.81139177,76.64691799,80.4598939,71.93434784,70.75522752,66.33120399,78.36612465,79.10755404,78.60096961,78.37967478
Colima,Industrias manufactureras ,120.6452442,123.772462,115.1732108,108.6471049,86.22025332,89.61362396,86.04227386,94.46741873,95.99600161,86.79298908,96.61311576,112.2207526,122.1313625
Chiapas,Actividades secundarias ,68.8075835,69.2745473,71.28813161,73.7226673,81.44753765,81.31908671,78.53762493,73.84695586,72.79492176,73.55534068,70.90115445,62.01470101,61.35494164
Chiapas,Minería ,38.17227723,34.41907754,36.50602382,34.62942424,35.11949385,30.81518297,33.12333328,33.23243632,31.66382466,33.24027849,27.82752577,27.27554899,36.15093108
Chiapas,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",83.90969875,84.95946772,106.2279525,132.9237113,180.5957633,182.626022,134.4541043,105.9318617,76.06776448,70.95402446,60.44779578,54.14885139,53.31608199
Chiapas,Construcción ,72.9373949,80.49385351,74.48085843,79.62773305,87.3358567,79.86775827,85.65471261,85.12233166,96.53164304,93.8065204,90.44699632,71.35963873,62.92155232
Chiapas,Industrias manufactureras ,81.08268803,78.68560721,81.77467585,78.61937322,80.62284811,88.12974799,87.34321968,82.61793507,79.87125055,84.27201226,85.91242997,78.83961954,78.11279309
Chihuahua,Actividades secundarias ,115.3887971,112.284997,116.7540541,116.6396797,118.2129415,118.8238352,117.5890494,119.6733859,119.0164275,119.939343,119.3710212,115.75042,121.5621428
Chihuahua,Minería ,123.6810597,111.1567893,130.8277874,120.9625871,123.9202489,117.6848917,113.8180112,113.2689876,113.1336968,127.2228166,114.9216372,120.4811402,119.0407958
Chihuahua,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",101.1499966,103.3063116,96.96856058,101.9663913,97.19312151,116.6123238,118.3969881,118.667449,122.226964,115.2201583,105.1103231,102.02741,110.3554977
Chihuahua,Construcción ,87.93134165,95.72829396,88.36226143,99.5980009,104.3575547,107.5253516,104.54628,96.98876279,99.84528717,96.2579027,89.30301858,99.78057715,104.0145078
Chihuahua,Industrias manufactureras ,123.7143767,118.1596004,125.1064964,122.4667434,123.5145747,122.5130072,121.8586747,127.3059228,125.1469187,126.3899607,130.1671086,121.1177603,128.1244272
Ciudad de México,Actividades secundarias ,101.0235968,98.66014653,100.6317858,101.4312733,105.194295,105.2162766,103.3376549,103.3014527,104.1090355,104.411154,105.279284,102.0853185,98.30171849
Ciudad de México,Minería ,125.042336,116.5721831,127.1209748,127.7371377,137.459407,122.7022987,121.5316543,121.6849786,128.1145767,115.815349,120.8210086,119.5750891,105.2959008
Ciudad de México,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",105.4437587,102.3403647,104.3687608,105.3517254,105.9298996,106.179657,109.1330932,105.7635782,105.928937,107.2268733,108.9247435,105.0249883,105.5619116
Ciudad de México,Construcción ,117.9921047,117.0309902,110.9310358,112.2817938,120.3346079,114.1925606,115.474317,107.6850636,118.6666064,113.9107364,117.6458573,120.1607533,111.6209225
Ciudad de México,Industrias manufactureras ,89.71412707,86.50698526,93.67805153,94.10760193,95.34644095,99.33770923,95.04295882,100.2695994,94.55789304,98.05439506,97.00518044,90.18070249,89.13667048
Durango,Actividades secundarias ,91.98017208,93.4105128,91.36510926,93.16749107,97.57582613,96.3402194,98.06857252,99.00100409,91.44120026,97.63479571,102.5476783,94.01779762,92.56712303
Durango,Minería ,77.47231198,70.32289861,79.22858211,78.35463777,80.33849649,80.02046172,79.62934761,78.14297089,78.80711314,90.52742895,84.88723254,86.63248832,75.57359698
Durango,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",81.62986269,79.0888069,78.22522402,96.609232,106.2936145,127.1223112,125.6612244,128.5642434,124.1773433,97.68873197,88.64874301,84.14640588,86.16803174
Durango,Construcción ,93.81206473,97.91105093,86.38624106,88.25459964,89.11633771,84.77957159,96.54461439,84.51473275,80.9715485,91.50250981,106.9026377,98.10676325,91.64890269
Durango,Industrias manufactureras ,96.81589516,100.0791545,99.14958787,99.94454601,106.3105919,103.901053,101.6505004,109.5964485,97.07199891,102.9441947,107.5179029,95.41248043,99.12875228
Guanajuato,Actividades secundarias ,125.7370605,127.6363042,126.6690739,124.1468258,130.5811943,131.2250034,123.4233151,127.1773201,125.8519639,129.0304716,131.9594489,113.5268166,122.5211794
Guanajuato,Minería ,97.03921185,95.07668032,102.5002612,106.6343825,99.81294949,99.50656149,100.9307805,107.0564173,102.3074208,99.81738445,100.0672169,95.55770569,84.39583812
Guanajuato,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",147.9214314,125.4134478,129.6434709,147.4115002,131.312161,155.8898247,158.3740219,151.554965,159.7010228,158.5283662,167.911378,159.5143477,142.5786186
Guanajuato,Construcción ,112.9209895,113.7492708,103.5335026,100.5373844,102.6219474,102.6073208,109.5112098,103.0033998,105.6574527,116.9988945,107.0606451,115.8364022,118.2757475
Guanajuato,Industrias manufactureras ,129.9227757,133.824457,135.8978773,132.1576637,141.9455174,141.3864796,127.1039349,135.394023,132.0339209,132.4755089,140.001858,110.2031982,123.7599209
Guerrero,Actividades secundarias ,97.34314048,101.6812663,105.8223598,101.8396826,106.992902,106.3618451,102.6786777,100.9684392,100.4926994,103.8813699,100.7924989,105.9375799,107.6804955
Guerrero,Minería ,164.126081,154.9790344,160.6654421,148.2513362,154.774558,151.4848092,150.1314648,159.7786106,162.4106439,164.1054192,164.1392424,164.339246,196.475591
Guerrero,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",93.11714943,105.7361162,128.5911884,117.0448205,129.9433961,126.7595428,104.8239224,115.2973375,111.4806919,115.4005193,119.7454013,107.3440728,118.8158853
Guerrero,Construcción ,85.00713014,90.39537275,87.155135,87.00929083,89.62811947,90.59002185,93.42636282,84.19063885,83.11940866,87.87220505,79.79147406,95.12330214,86.98564799
Guerrero,Industrias manufactureras ,92.77376248,92.80116231,95.02770854,94.97389112,97.04548572,96.60737258,94.10525289,92.23950218,95.86325516,95.30496221,96.3710429,95.1477088,93.26261437
Hidalgo,Actividades secundarias ,106.2847845,105.5205442,110.8331649,111.3547067,115.1784574,116.0066718,114.0868713,112.4897334,108.4742333,108.228587,105.9377904,105.5627006,103.3917577
Hidalgo,Minería ,98.20611916,91.68282165,104.5788767,104.4314622,98.09637952,100.031917,88.55560905,92.31169097,95.40766762,106.6174295,104.3515972,108.1932839,74.73939152
Hidalgo,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",99.01658815,85.65721734,84.55949767,106.5991546,104.4615605,108.7047731,95.08274833,98.82296063,90.41782135,80.35211371,86.71235639,85.53388153,102.4917845
Hidalgo,Construcción ,110.2704708,124.4294389,123.8346664,108.6105669,112.0273137,116.625143,121.9730594,106.3558002,110.8846751,110.2641306,95.14745273,98.33134425,103.4799726
Hidalgo,Industrias manufactureras ,106.1675322,101.6066671,109.8261456,113.4848393,118.848011,117.6243581,115.0063533,117.929545,110.809502,111.5800083,113.1153919,111.2347461,104.9137846
Jalisco,Actividades secundarias ,121.5902839,119.1417481,118.2398482,118.0740063,121.7511602,123.2101722,123.493511,129.3752943,122.9614493,128.7378748,126.2829631,125.0393006,120.9385112
Jalisco,Minería ,91.76406742,97.37980185,97.63501853,97.34983114,104.4524298,101.0742089,95.68955494,93.31370804,78.51122396,76.80490334,75.30444671,71.76636079,85.11477827
Jalisco,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",118.4548465,114.7846956,113.8568799,118.427202,116.7529859,123.8886622,123.7098755,120.9735195,122.8453231,124.9608628,128.3919724,120.5838421,119.5621011
Jalisco,Construcción ,114.691129,107.8543477,106.3463214,105.7281007,109.9685787,108.4348794,114.0664047,113.9339265,105.9247691,119.9551488,111.7523116,129.1951973,125.8268505
Jalisco,Industrias manufactureras ,124.9049983,124.1406857,123.4619332,123.1804786,126.9220335,129.2684806,127.5626647,136.4532994,130.2661423,133.1384454,132.5575593,124.4281623,119.6059682
México,Actividades secundarias ,109.5009377,104.9090925,105.1582901,106.6272145,110.3543771,110.7363241,110.3286048,108.7497759,108.1397304,112.9100257,106.6201138,100.9284849,104.6384337
México,Minería ,97.07401324,94.93961021,101.937303,99.23243481,98.85049728,96.38935125,96.69354442,95.47887118,93.21845067,91.42930485,90.19452405,90.74849828,95.01687778
México,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",110.7905285,111.403786,103.0563327,105.6649336,109.8613501,96.5301409,116.6068777,105.5491947,117.8252687,113.8064859,109.0357435,96.05898927,95.02966234
México,Construcción ,141.4722374,142.016473,135.331351,133.4889496,130.1971254,133.2723297,136.575437,124.4161456,127.8124815,128.6477744,113.4780514,124.77984,136.2936409
México,Industrias manufactureras ,102.0213423,95.80957043,98.19149703,100.4353568,105.8632289,106.6016369,103.8822811,105.4664831,103.039229,109.4589665,105.0904398,95.76721139,97.94338783
Michoacán de Ocampo,Actividades secundarias ,99.79661685,104.1485253,107.3105586,105.2849321,107.8100131,102.3575142,101.2088653,96.7294672,95.12385525,100.4283308,93.9781029,94.79829256,100.8902803
Michoacán de Ocampo,Minería ,67.87397823,62.47069482,71.14734408,75.82402917,76.3954502,59.31715418,57.6924056,64.23075813,54.43796867,50.91143903,47.81390576,56.47576402,59.58470882
Michoacán de Ocampo,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",107.8711152,112.9490437,108.5195756,111.7617951,110.235808,113.2570237,114.2323653,102.5621726,109.4682657,114.1831539,124.5669468,109.6125288,116.1574661
Michoacán de Ocampo,Construcción ,110.2197276,115.2614089,109.8271821,113.9262032,115.9154729,105.8236849,106.1419642,102.0049087,105.7962478,117.6078156,97.07628304,100.762108,116.618005
Michoacán de Ocampo,Industrias manufactureras ,95.59103251,100.2013585,108.5553671,102.0613148,105.7259528,101.9034654,99.68488696,95.50797591,90.32146035,93.18468939,90.39374426,92.05560431,93.47618038
